{id=147841, type=policy.create, timestamp=1523471258535, data={policyLocator=47e1d07b-12aa-48b0-a4f7-dcbd0d5af5ca}}
{id=147842, type=policy.create, timestamp=1523471406865, data={policyLocator=4f53a7ea-6a59-4c97-bf9e-5bb921872533}}
{id=147843, type=policy.create, timestamp=1523471410846, data={policyLocator=0581405c-973d-4583-acca-e4ebd93a4d42}}
{id=147844, type=policy.create, timestamp=1523471414381, data={policyLocator=a150e261-89bc-4fea-8fbf-5cd37000e648}}
{id=147845, type=policy.create, timestamp=1523471820693, data={policyLocator=d6445ffe-ad80-4c97-81e3-fa06e80079d7}}
{id=147846, type=policy.create, timestamp=1523473143429, data={policyLocator=4018f66d-2abe-4f06-b9c6-c1f857246183}}
{id=147847, type=policy.create, timestamp=1523473149063, data={policyLocator=162668a0-4854-44f6-a79d-13e5659b41d9}}
{id=147848, type=policy.create, timestamp=1523474518534, data={policyLocator=9b8c0111-9432-4b7d-b73f-4889a0783aa3}}
{id=147849, type=policy.create, timestamp=1523476138639, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147850, type=policy.update, timestamp=1523476157746, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147851, type=policy.update, timestamp=1523476160133, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147852, type=policy.update, timestamp=1523476165928, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147853, type=policy.update, timestamp=1523476171212, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147854, type=policy.update, timestamp=1523476172576, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147855, type=policy.update, timestamp=1523476178667, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147856, type=policy.update, timestamp=1523476185641, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147857, type=policy.update, timestamp=1523476190701, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147858, type=policy.update, timestamp=1523476215535, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147859, type=policy.update, timestamp=1523476219731, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147860, type=policy.update, timestamp=1523476267623, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147861, type=policy.update, timestamp=1523476271911, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147862, type=policy.update, timestamp=1523476276190, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147863, type=policy.update, timestamp=1523476286761, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147864, type=policy.update, timestamp=1523476289354, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147865, type=policy.update, timestamp=1523476394575, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147866, type=policy.update, timestamp=1523476397332, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147867, type=policy.update, timestamp=1523476403521, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
